t,range_km,closure_mps,aspect_deg,blue_alt,red_alt,blue_mach,red_mach,blue_Es,red_Es,blue_missile,red_missile
0.0,76.018,0.0,166.4,7414.2,9821.4,1.072,1.166,13068.5,16069.4,0,0
0.5,75.695,646.0,166.7,7416.6,9822.4,1.06,1.157,12939.1,15980.4,0,0
1.0,75.374,641.2,167.1,7428.3,9826.6,1.043,1.149,12771.3,15894.6,0,0
1.5,75.056,637.1,167.4,7449.1,9833.3,1.026,1.141,12614.7,15819.1,0,0
2.0,74.739,632.9,167.8,7477.4,9841.7,1.009,1.134,12473.3,15753.0,0,0
2.5,74.425,628.3,168.1,7512.1,9851.3,0.993,1.128,12350.2,15698.8,0,0
3.0,74.114,622.9,168.4,7553.1,9861.4,0.979,1.124,12250.0,15660.0,0,0
3.5,73.805,617.1,168.6,7600.0,9871.9,0.969,1.121,12195.3,15640.4,0,0
4.0,73.501,609.0,168.8,7654.7,9882.3,0.956,1.12,12121.6,15640.8,0,0
4.5,73.201,599.3,169.0,7717.3,9892.6,0.944,1.12,12062.6,15645.4,0,0
5.0,72.907,588.1,169.2,7787.4,9902.4,0.931,1.12,12009.0,15651.0,0,0
5.5,72.62,575.1,169.4,7864.9,9911.8,0.918,1.119,11955.4,15657.2,0,0
6.0,72.338,562.4,169.6,7948.3,9920.5,0.907,1.119,11932.8,15663.3,0,0
6.5,72.062,552.7,169.8,8035.6,9928.6,0.898,1.119,11936.8,15669.3,0,0
7.0,71.789,545.6,170.0,8125.2,9936.0,0.891,1.119,11952.3,15675.2,0,0
7.5,71.519,540.1,170.1,8215.9,9942.8,0.884,1.119,11973.8,15677.1,0,0
8.0,71.251,536.6,170.3,8306.9,9948.9,0.878,1.119,12002.6,15681.5,0,0
8.5,70.983,535.2,170.5,8396.9,9954.3,0.872,1.119,12034.9,15685.7,0,0
9.0,70.716,535.3,170.7,8485.3,9959.0,0.866,1.119,12065.7,15692.0,0,0
9.5,70.447,536.3,170.9,8571.6,9963.1,0.86,1.119,12095.2,15697.9,0,0
10.0,70.178,538.0,171.1,8655.2,9966.6,0.854,1.12,12123.9,15704.0,0,0
10.5,69.908,540.0,171.3,8736.0,9969.7,0.849,1.12,12152.1,15710.1,0,0
11.0,69.637,542.3,171.5,8813.8,9972.3,0.844,1.12,12180.2,15715.9,0,0
11.5,69.365,544.8,171.8,8888.4,9974.5,0.839,1.121,12208.6,15721.5,0,0
12.0,69.091,547.3,172.0,8959.8,9976.4,0.834,1.121,12236.7,15726.8,0,0
12.5,68.816,549.8,172.2,9027.8,9977.9,0.83,1.121,12265.3,15732.0,0,0
13.0,68.54,552.3,172.4,9092.5,9979.2,0.826,1.122,12294.1,15737.0,0,0
13.5,68.263,554.7,172.6,9153.8,9980.2,0.822,1.122,12323.3,15741.8,0,0
14.0,67.984,557.0,172.8,9211.9,9981.1,0.819,1.123,12352.9,15746.5,0,0
14.5,67.705,559.1,173.0,9266.8,9981.7,0.817,1.123,12383.2,15751.1,0,0
15.0,67.424,561.2,173.2,9318.6,9982.2,0.815,1.123,12414.6,15755.6,0,0
15.5,67.143,563.1,173.3,9367.5,9982.6,0.813,1.124,12446.4,15760.0,0,0
16.0,66.86,565.0,173.5,9413.4,9982.8,0.812,1.124,12478.2,15764.3,0,0
16.5,66.577,566.7,173.7,9456.5,9983.0,0.811,1.125,12510.1,15768.6,0,0
17.0,66.293,568.4,173.9,9497.0,9983.1,0.81,1.125,12542.6,15772.8,0,0
17.5,66.008,570.0,174.1,9534.9,9983.1,0.81,1.125,12575.7,15777.0,0,0
18.0,65.722,571.5,174.2,9570.5,9983.1,0.81,1.126,12609.2,15781.2,0,0
18.5,65.435,573.0,174.4,9603.7,9983.0,0.811,1.126,12643.5,15785.3,0,0
19.0,65.148,574.4,174.6,9634.8,9982.9,0.812,1.127,12678.4,15789.4,0,0
19.5,64.86,575.8,174.7,9663.9,9982.7,0.813,1.127,12713.3,15793.6,0,0
20.0,64.572,577.1,174.9,9691.1,9982.5,0.814,1.127,12748.4,15797.7,0,0
20.5,64.283,578.4,175.0,9716.6,9982.4,0.816,1.128,12783.1,15801.8,0,0
21.0,63.993,579.6,175.2,9740.4,9982.2,0.817,1.128,12817.1,15805.9,0,0
21.5,63.702,580.8,175.3,9762.8,9982.0,0.819,1.129,12850.5,15810.0,0,0
22.0,63.411,581.9,175.4,9783.8,9981.7,0.821,1.129,12883.4,15814.2,0,0
22.5,63.12,583.0,175.6,9803.4,9981.5,0.823,1.129,12915.8,15818.3,0,0
23.0,62.828,584.1,175.7,9821.8,9981.3,0.825,1.13,12947.6,15822.5,0,0
23.5,62.535,585.2,175.8,9839.1,9981.1,0.827,1.13,12979.2,15826.6,0,0
24.0,62.242,586.3,175.9,9855.3,9980.9,0.829,1.131,13010.3,15830.8,0,0
24.5,61.948,587.3,176.1,9870.4,9980.7,0.831,1.131,13041.0,15835.0,0,0
25.0,61.654,588.3,176.2,9884.6,9980.5,0.833,1.132,13071.1,15839.3,0,0
25.5,61.36,589.4,176.3,9898.0,9980.4,0.836,1.132,13100.7,15843.5,0,0
26.0,61.064,590.4,176.4,9910.5,9980.2,0.838,1.132,13130.1,15847.8,0,0
26.5,60.769,591.3,176.5,9922.3,9980.0,0.84,1.133,13159.2,15852.0,0,0
27.0,60.473,592.3,176.6,9933.3,9979.9,0.843,1.133,13187.9,15856.3,0,0
27.5,60.176,593.3,176.7,9943.7,9979.7,0.845,1.134,13216.1,15860.6,0,0
28.0,59.879,594.3,176.8,9953.6,9979.6,0.848,1.134,13243.9,15864.9,0,0
28.5,59.581,595.2,176.9,9962.8,9979.4,0.85,1.135,13271.4,15869.3,0,1
29.0,59.283,596.6,177.2,9970.5,9979.1,0.854,1.136,13307.1,15879.5,0,1
29.5,58.984,598.1,177.8,9973.9,9978.8,0.856,1.136,13324.8,15881.3,0,1
30.0,58.684,598.6,178.8,9970.4,9979.3,0.856,1.135,13323.9,15877.0,0,1
30.5,58.386,597.8,179.9,9959.3,9980.7,0.856,1.134,13314.4,15867.7,0,1
31.0,58.088,595.6,178.4,9940.6,9983.2,0.856,1.133,13298.5,15854.4,0,1
31.5,57.792,592.1,176.9,9914.7,9987.1,0.856,1.131,13276.8,15838.8,0,1
32.0,57.498,587.3,175.4,9882.0,9992.1,0.857,1.129,13249.7,15822.3,0,1
32.5,57.207,581.4,174.0,9843.5,9998.3,0.853,1.127,13189.5,15806.0,0,1
33.0,56.92,574.8,172.7,9799.8,10005.4,0.851,1.125,13132.6,15791.0,0,1
33.5,56.636,568.2,171.6,9751.1,10013.3,0.849,1.123,13072.4,15777.6,0,1
34.0,56.356,560.5,170.5,9696.6,10021.8,0.847,1.121,13002.5,15766.3,0,1
34.5,56.08,551.8,169.5,9636.2,10030.5,0.844,1.12,12928.1,15756.9,0,1
35.0,55.808,542.6,168.6,9569.7,10039.5,0.843,1.118,12856.8,15749.3,0,1
35.5,55.542,533.6,167.7,9497.4,10048.4,0.844,1.117,12803.0,15743.3,0,1
36.0,55.278,527.4,166.9,9420.6,10057.2,0.851,1.116,12788.6,15738.7,0,1
36.5,55.016,523.7,166.1,9340.2,10065.8,0.861,1.115,12795.4,15735.1,0,1
37.0,54.755,521.2,165.2,9256.6,10074.0,0.872,1.114,12810.0,15732.4,0,1
37.5,54.496,519.4,164.4,9170.2,10081.8,0.884,1.113,12830.8,15730.3,0,1
38.0,54.236,518.4,163.6,9081.3,10089.2,0.897,1.112,12856.5,15728.5,0,1
38.5,53.978,517.9,162.8,8990.3,10096.1,0.91,1.111,12884.8,15727.0,0,1
39.0,53.719,517.7,161.9,8897.4,10102.6,0.922,1.111,12911.6,15725.7,0,1
39.5,53.46,517.5,161.0,8803.0,10108.5,0.935,1.11,12935.9,15724.3,0,1
40.0,53.201,517.3,160.2,8707.2,10113.9,0.947,1.109,12957.8,15722.8,0,1
40.5,52.943,517.0,159.3,8610.2,10118.9,0.958,1.109,12977.2,15721.2,0,1
41.0,52.685,516.4,158.4,8512.2,10123.4,0.969,1.108,12994.3,15719.4,0,1
41.5,52.427,515.5,157.4,8413.2,10127.4,0.98,1.108,13009.6,15717.3,0,1
42.0,52.17,514.2,156.5,8313.4,10131.1,0.991,1.107,13023.3,15715.9,0,1
42.5,51.913,512.9,156.1,8212.7,10134.2,1.001,1.107,13035.6,15717.0,0,1
43.0,51.657,511.7,155.6,8111.1,10136.7,1.012,1.107,13047.1,15720.0,0,1
43.5,51.402,510.4,155.2,8008.8,10138.3,1.022,1.107,13058.2,15724.2,0,1
44.0,51.148,509.2,154.7,7905.6,10139.2,1.032,1.108,13068.9,15729.3,0,1
44.5,50.894,507.9,154.3,7801.6,10139.1,1.042,1.108,13079.3,15734.8,0,1
45.0,50.64,506.5,153.8,7696.7,10138.2,1.051,1.109,13089.3,15740.4,0,1
45.5,50.388,505.0,153.3,7591.0,10136.5,1.061,1.11,13098.7,15746.1,0,1
46.0,50.136,503.4,152.8,7484.4,10133.9,1.07,1.111,13107.4,15751.5,0,1
46.5,49.885,501.7,152.3,7376.9,10130.6,1.08,1.111,13115.3,15756.7,0,1
47.0,49.635,499.8,151.7,7268.5,10126.6,1.089,1.112,13122.2,15761.5,0,1
47.5,49.387,497.8,151.2,7159.2,10122.0,1.098,1.113,13127.9,15766.0,0,1
48.0,49.139,495.6,150.6,7049.0,10116.9,1.107,1.114,13132.8,15770.0,0,1
48.5,48.892,493.3,150.1,6937.9,10111.3,1.116,1.115,13137.7,15773.6,0,1
49.0,48.647,491.0,149.5,6825.8,10105.5,1.125,1.115,13142.6,15776.8,0,1
49.5,48.402,488.5,149.0,6712.9,10099.3,1.133,1.116,13147.3,15779.6,0,1
