t,range_km,closure_mps,aspect_deg,blue_alt,red_alt,blue_mach,red_mach,blue_Es,red_Es,blue_missile,red_missile
0.0,85.431,0.0,177.6,6923.8,7444.3,0.873,1.214,10721.6,14686.9,0,0
0.5,85.123,616.4,178.5,6924.3,7447.8,0.867,1.199,10669.5,14503.6,0,0
1.0,84.821,603.4,178.7,6933.2,7464.1,0.853,1.177,10557.2,14265.4,0,0
1.5,84.529,585.1,178.9,6952.4,7494.6,0.836,1.155,10432.9,14034.5,0,0
2.0,84.247,562.6,179.0,6982.3,7538.1,0.819,1.133,10317.0,13822.6,0,0
2.5,83.979,536.6,179.1,7022.5,7593.6,0.8,1.111,10203.9,13634.6,0,0
3.0,83.725,507.9,179.2,7072.8,7660.0,0.782,1.091,10104.8,13476.1,0,0
3.5,83.486,477.7,179.3,7132.0,7736.3,0.766,1.074,10036.4,13353.1,0,0
4.0,83.261,449.7,179.4,7197.6,7821.5,0.756,1.057,10021.4,13257.4,0,0
4.5,83.049,424.5,179.4,7267.4,7914.6,0.748,1.042,10027.8,13183.4,0,0
5.0,82.847,403.9,179.4,7339.7,8013.5,0.741,1.031,10047.2,13152.4,0,0
5.5,82.653,389.1,179.4,7413.5,8115.7,0.736,1.021,10073.0,13145.4,0,0
6.0,82.463,379.5,179.3,7488.2,8218.9,0.73,1.013,10101.8,13155.9,0,0
6.5,82.276,374.1,179.2,7563.2,8321.6,0.724,1.006,10130.8,13174.8,0,0
7.0,82.09,371.3,179.1,7638.3,8422.5,0.718,0.998,10159.5,13189.5,0,0
7.5,81.905,370.1,179.1,7713.3,8520.8,0.712,0.991,10187.4,13200.3,0,0
8.0,81.72,369.9,178.9,7788.2,8615.8,0.706,0.983,10213.8,13209.3,0,0
8.5,81.535,370.5,178.8,7862.8,8707.1,0.7,0.975,10241.3,13217.6,0,0
9.0,81.349,371.8,178.7,7936.8,8794.5,0.693,0.968,10264.6,13225.9,0,0
9.5,81.162,373.5,178.6,8010.2,8877.8,0.686,0.961,10285.3,13234.8,0,0
10.0,80.975,375.6,178.4,8082.8,8956.8,0.681,0.954,10318.4,13244.5,0,0
10.5,80.786,377.0,178.3,8154.9,9031.6,0.674,0.948,10340.5,13255.4,0,0
11.0,80.597,378.5,178.1,8226.4,9102.1,0.666,0.942,10360.6,13267.5,0,0
11.5,80.406,381.1,178.0,8296.6,9168.4,0.662,0.937,10397.5,13281.0,0,0
12.0,80.215,383.4,177.8,8365.6,9230.6,0.656,0.933,10424.2,13295.7,0,0
12.5,80.022,385.8,177.7,8433.2,9288.7,0.65,0.928,10450.2,13311.9,0,0
13.0,79.828,388.1,177.5,8499.3,9342.8,0.644,0.925,10478.0,13329.3,0,0
13.5,79.632,390.4,177.4,8563.7,9393.2,0.638,0.922,10505.2,13348.1,0,0
14.0,79.436,392.7,177.3,8626.3,9439.9,0.633,0.919,10531.8,13368.0,0,0
14.5,79.239,394.8,177.2,8687.1,9483.2,0.628,0.917,10557.9,13389.1,0,0
15.0,79.04,396.9,177.1,8746.0,9523.2,0.623,0.916,10583.6,13411.4,0,0
15.5,78.841,398.9,177.0,8802.9,9560.0,0.618,0.915,10608.8,13434.6,0,0
16.0,78.64,400.7,176.9,8857.9,9593.9,0.613,0.914,10633.6,13458.6,0,0
16.5,78.439,402.5,176.8,8910.9,9625.1,0.609,0.914,10658.1,13483.5,0,0
